variant,date,decision_hour,risk_mode,horizon_slots,simultaneous_flow_slots,simultaneous_flow_max_kwh,max_eq_residual_kwh,solver_status
q2_fixed_clustered,2025-10-10,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-10-11,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-10-12,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-10-13,0,clustered,144,0,0.0,1.1368683772161603e-13,optimal
q2_fixed_clustered,2025-10-14,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-10-15,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-10-16,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-10-17,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-10-18,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-10-19,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-10-20,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-10-21,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-10-22,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-10-23,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-10-24,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-10-25,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-10-26,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-10-27,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-10-28,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-10-29,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-10-30,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-10-31,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-11-01,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-11-02,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-11-03,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-11-04,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-11-05,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-11-06,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
